What's the total enrollment expense for the project?,The total enrollment expense for the project is <projectfee>.,fee,,
How much is the total payment to enroll in the project?,The total payment to enroll in the project is <projectfee>.,fee,,
What is the project's enrollment amount?,The amount to enroll in the project is <projectfee>.,fee,,
How much does enrolling in the entire project cost?,Enrolling in the entire project costs <projectfee>.,fee,,
What is the full enrollment fee for the project?,The full enrollment fee for the project is <projectfee>.,fee,,
How much is the complete enrollment fee for the project?,The complete enrollment fee for the project is <projectfee>.,fee,,
What is the overall enrollment cost for the project?,The overall enrollment cost for the project is <projectfee>.,fee,,
How much is the project's full enrollment payment?,The full enrollment payment for the project is <projectfee>.,fee,,
What is the project's complete enrollment fee?,The complete enrollment fee for the project is <projectfee>.,fee,,
How much is the project's overall enrollment charge?,The overall enrollment charge for the project is <projectfee>.,fee,,
What is the project's full enrollment amount?,The full enrollment amount for the project is <projectfee>.,fee,,
How much is the project's total enrollment pricing?,The total enrollment pricing for the project is <projectfee>.,fee,,
What is the project's complete enrollment cost?,The complete enrollment cost for the project is <projectfee>.,fee,,
If a student fails and re-enrolls in the FYP what is the fee?,The fee to re-enroll in the FYP after failing is <projectfee>.,fee,,
What is the fee for re-enrollment after failing the project?,The re-enrollment fee after failing is <projectfee>.,fee,,
How much does it cost to retake the FYP project?,The cost to retake the FYP project is <projectfee>.,fee,,
What is the fee if I fail and need to redo the project?,The fee to redo the project after failing is <projectfee>.,fee,,
If I fail the project how much is the re-enrollment fee?,The re-enrollment fee after failing is <projectfee>.,fee,,
What is the charge for retaking the project after failure?,The charge to retake the project after failing is <projectfee>.,fee,,
How much do I pay if I fail and re-enroll in the FYP?,You pay <projectfee> to re-enroll in the FYP after failing.,fee,,
Do you provide residence facilities?,We <residence_facility> provide residence facilities.,residence,,
Are hostel facilities available?,Hostel facilities <residence_facility> available.,residence,,
Is on-campus housing offered?,On-campus housing <residence_facility> offered.,residence,,
Do you have dormitory facilities?,Dormitory facilities <residence_facility> available.,residence,,
Are there student residences?,Student residences <residence_facility> provided.,residence,,
Is accommodation provided?,Accommodation <residence_facility> provided.,residence,,
Do you offer student housing?,Student housing <residence_facility> offered.,residence,,
Can students live on campus?,Students <residence_facility> live on campus.,residence,,
Is residential accommodation available?,Residential accommodation <residence_facility> available.,residence,,
Are there housing options?,Housing options <residence_facility> available.,residence,,
Do you provide student housing?,Student housing <residence_facility> provided.,residence,,
Is campus accommodation available?,Campus accommodation <residence_facility> available.,residence,,
Are there dorm rooms for students?,Dorm rooms <residence_facility> available for students.,residence,,
Does the university offer residences?,University residences <residence_facility> offered.,residence,,
Can I stay in campus housing?,Campus housing <residence_facility> available for stay.,residence,,
Are hostel rooms provided?,Hostel rooms <residence_facility> provided.,residence,,
Is there student lodging?,Student lodging <residence_facility> available.,residence,,
Do you arrange student accommodations?,Student accommodations <residence_facility> arranged.,residence,,
Are residence halls available?,Residence halls <residence_facility> available.,residence,,
Does the institute have hostels?,Institute hostels <residence_facility> maintained.,residence,,
Can students reside on campus?,Students <residence_facility> reside on campus.,residence,,
Is on-campus living possible?,On-campus living <residence_facility> possible.,residence,,
Are boarding facilities offered?,Boarding facilities <residence_facility> offered.,residence,,
Do you manage student housing?,Student housing <residence_facility> managed.,residence,,
Is there university accommodation?,University accommodation <residence_facility> available.,residence,,
Are living quarters provided?,Living quarters <residence_facility> provided.,residence,,
Can international students get housing?,Housing for international students <residence_facility> available.,residence,,
Is residential stay offered?,Residential stay <residence_facility> offered.,residence,,
Do you have student dormitories?,Student dormitories <residence_facility> maintained.,residence,,
Are there any campus residences?,Campus residences <residence_facility> available.,residence,,
Is hostel stay available?,Hostel stay <residence_facility> available.,residence,,
Does the college provide lodging?,College lodging <residence_facility> provided.,residence,,
Are there shared rooms for students?,Shared rooms <residence_facility> available for students.,residence,,
Can I get campus residence?,Campus residence <residence_facility> obtainable.,residence,,
Is there affordable student housing?,Affordable student housing <residence_facility> available.,residence,,
Do you offer temporary housing?,Temporary housing <residence_facility> offered.,residence,,
Are there graduate residences?,Graduate residences <residence_facility> available.,residence,,
Is housing guaranteed for students?,Housing <residence_facility> guaranteed for students.,residence,,
Do you provide semester housing?,Semester housing <residence_facility> provided.,residence,,
Are there family housing options?,Family housing options <residence_facility> available.,residence,,
Can freshmen live on campus?,Freshmen <residence_facility> live on campus.,residence,,
Is summer housing available?,Summer housing <residence_facility> available.,residence,,
Do you have residence for disabled students?,Residence for disabled students <residence_facility> available.,residence,,
Are there quiet study residences?,Quiet study residences <residence_facility> available.,residence,,
Is alcohol-free housing provided?,Alcohol-free housing <residence_facility> provided.,residence,,
Do you offer apartment-style housing?,Apartment-style housing <residence_facility> offered.,residence,,
Are there single-room options?,Single-room options <residence_facility> available.,residence,,
Is there 24/7 residence access?,24/7 residence access <residence_facility> permitted.,residence,,
Do you provide meal plans with housing?,Meal plans with housing <residence_facility> provided.,residence,,
Are there gender-inclusive residences?,Gender-inclusive residences <residence_facility> available.,residence,,
Is there housing for exchange students?,Housing for exchange students <residence_facility> available.,residence,,
Do you have substance-free housing?,Substance-free housing <residence_facility> maintained.,residence,,
Are there honors program residences?,Honors program residences <residence_facility> available.,residence,,
Is there housing near campus?,Housing near campus <residence_facility> available.,residence,,
Do you provide housing assistance?,Housing assistance <residence_facility> provided.,residence,,
Are there accessible residences?,Accessible residences <residence_facility> available.,residence,,
Is there housing for athletes?,Housing for athletes <residence_facility> available.,residence,,
Do you offer winter break housing?,Winter break housing <residence_facility> offered.,residence,,
Are there music program residences?,Music program residences <residence_facility> available.,residence,,
Is there housing with kitchens?,Housing with kitchens <residence_facility> available.,residence,,
What is the criteria of the merit-based scholarship?,To qualify for the merit-based scholarship students need to maintain <scholershipcriteria>% marks in their academics.,fee,,
What are the requirements for the merit-based scholarship?,The merit-based scholarship requires a minimum of <scholershipcriteria>% marks.,fee,,
How can I qualify for the merit-based scholarship?,Eligibility for the merit scholarship demands <scholershipcriteria>% academic marks.,fee,,
What marks are required for the merit-based scholarship?,Applicants must score at least <scholershipcriteria>% to be considered for this scholarship.,fee,,
What percentage is needed for the merit-based scholarship?,<scholershipcriteria>% is the minimum percentage required for the merit scholarship.,fee,,
What is the eligibility for the merit-based scholarship?,Students must achieve <scholershipcriteria>% marks to be eligible for this scholarship.,fee,,
What are the criteria to get the merit-based scholarship?,The primary criterion is maintaining <scholershipcriteria>% marks throughout the academic year.,fee,,
